Mountain,Route,Mileage,Elevation,Route Time
Mt. Princeton,East Slopes,13.25 mi,5400',28800
Longs Peak,Keyhole Route,14.50 mi,5100',44640
San Luis Peak,Northeast Ridge,14.56 mi,4064',26280
"Group: Grays, Torreys",East Slopes,8.00 mi,3000',43200
Pikes Peak,pike2,26.00 mi,7500',34200
"Group: Harvard, Columbia",Harvard Columbia combo,15.00 mi,6100',36000
"Group: Democrat, Cameron, Lincoln, Bross",Decalibron,11.75 mi,3700',28800
Missouri Mountain,Northwest Ridge,10.20 mi,4500',18000
Torreys Peak,Kelso Ridge,7.40 mi,3600',12540
"Group: Grays, Torreys",Kelso Ridge combo,7.40 mi,3600',12540
San Luis Peak,Loop Stewart Ck to NE Ridge then Cochetopa Ck/Skyline Trail ,17.00 mi,3844',32400
"Group: Harvard, Columbia",Traverse,15.00 mi,6100',33600
Pikes Peak,pike2,13.00 mi,7500',29100
"Group: Grays, Torreys",Standard combination,8.60 mi,3600',18300
Mt. Antero,From Browns Creek,20.00 mi,5325',33990
Mt. Massive,East Slopes,13.60 mi,4500',34380
Longs Peak,Keyhole Route,14.50 mi,5100',26880
"Group: Grays, Torreys",Combo via Grays to Torreys,8.50 mi,3600',15420
Mt. of the Holy Cross,North Ridge,10.80 mi,5625',36600
Mt. Yale,Southwest Slopes,8.50 mi,4533',16200
La Plata Peak,Northwest Ridge,9.40 mi,4256',20700
Mt. Elbert,East Ridge,8.20 mi,4200',19800
Mt. Evans,West Ridge from Summit Lake,7.00 mi,2000',19800
"Group: Shavano, Tabeguache",Shavano Tabeguache Combo,11.25 mi,5600',19800
Mt. Bierstadt,"Bierstadt, Sawtooth, Evans",11.88 mi,4199',30720
Mt. of the Holy Cross,North Ridge,12.00 mi,5600',44100
Redcloud Peak,Northeast Ridge,9.00 mi,3700',21600
Culebra Peak,Northwest Ridge,7.05 mi,3030',16200
Mt. Yale,Southwest Slopes,9.50 mi,4300',16200
"Group: Democrat, Cameron, Lincoln, Bross","Combo: Democrat, Cameron, Lincoln, Bross",7.96 mi,3848',25015
Quandary Peak,East Ridge,6.75 mi,3450',10837
Missouri Mountain,Northwest Ridge,10.50 mi,4500',14700
Mt. Bierstadt,West Slopes,7.20 mi,2800',7701
San Luis Peak,Northeast Ridge,13.50 mi,3600',22200
Grays Peak,North Slopes,8.00 mi,3000',21600
Humboldt Peak,West Ridge,16.50 mi,5350',28200
"Group: Democrat, Cameron, Lincoln, Bross",Combo Standard,7.25 mi,3700',21600
"Group: Redcloud, Sunshine",Silver Creek (Std),12.00 mi,4800',27600
"Group: Grays, Torreys",Standard Route,8.50 mi,3600',16200
Huron Peak,Northwest Slopes,7.00 mi,3500',17580
Mt. Antero,West Slopes,10.00 mi,4470',26100
Mt. of the Holy Cross,"Halo up, N Ridge down",13.50 mi,5420',25500
Mt. Bierstadt,West Slopes,7.00 mi,2850',15900
Mt. Bierstadt,West Slopes,7.00 mi,2850',13200
Mt. Evans,West Ridge from Summit Lake,4.50 mi,2000',11100
"Group: Belford, Oxford",Northwest Ridge,11.00 mi,5800',30600
Mt. Elbert,Northeast Ridge,9.00 mi,4700',22260
Mt. Massive,SE Ridge,12.50 mi,5100',21600
La Plata Peak,Northwest Ridge,9.35 mi,4500',22500
Mt. Harvard,South Slopes,14.00 mi,4600',28800
Mt. Antero,West Slopes,15.50 mi,5200',22860
"Group: Shavano, Tabeguache",Shav to Tab,11.25 mi,5600',26460
Mt. Yale,Southwest Slopes,9.50 mi,4300',18780
"Group: Evans, Sawtooth, Bierstadt","Standard, return Gomer Creek",11.88 mi,3900',32330
Grays Peak,North Slopes,7.50 mi,3000',7500
Mt. Evans,West Ridge from Echo Lake,23.40 mi,5600',42480
Longs Peak,Loft Route,12.50 mi,5300',39180
Torreys Peak,Kelso Ridge,6.75 mi,3100',20880
"Group: Harvard, Columbia",Columbia to Harvard Traverse,17.00 mi,6900',50100
"Group: Grays, Torreys",standard route combo,8.50 mi,3600',21600
Mt. Yale,Southwest Slopes,9.50 mi,4300',20460
Mt. Massive,East Slopes,13.60 mi,4500',27194
Quandary Peak,East Ridge,6.75 mi,3450',17400
Pikes Peak,Northwest Slopes,14.00 mi,4300',24300
Pikes Peak,Northwest Slopes,14.00 mi,4633',28800
Mt. Princeton,East Slopes,6.50 mi,3200',14040
Grays Peak,North Slopes,7.54 mi,3192',8580
Mt. Shavano,Northeast Ridge,6.00 mi,2900',30120
Snowmass Mountain,East Slopes,22.00 mi,4500',153660
Castle Peak,Northeast Ridge,13.50 mi,4600',39600
La Plata Peak,Northwest Ridge,9.25 mi,4500',24000
Mt. Elbert,East Ridge,12.50 mi,4900',34200
Crestone Peak,South Face,14.00 mi,5700',30300
"Group: Democrat, Cameron, Lincoln, Bross",Trail Run,7.50 mi,3683',12600
Mt. Elbert,Northeast Ridge,9.70 mi,4700',31800
Mt. Elbert,Northeast Ridge,9.00 mi,4700',14700
Mt. Massive,East Slopes,14.50 mi,4500',12285
"Group: Grays, Torreys",Standard Grays and Torreys,8.40 mi,3412',19200
"Group: Democrat, Cameron, Lincoln, Bross",Standard Route,7.00 mi,3649',21660
Mt. Democrat,South Slope,3.50 mi,2150',10800
Quandary Peak,East Ridge,7.00 mi,3500',18960
Mt. Princeton,East Slopes,13.50 mi,5700',39840
Mt. Bross,East Slopes from Moose Creek,5.00 mi,3100',14460
Mt. Bierstadt,West Slopes,7.50 mi,2800',14520
"Group: Grays, Torreys",West Ridge from Loveland Pass,11.50 mi,7300',31800
Mt. Elbert,East Ridge,12.50 mi,4900',12512
"Group: Democrat, Cameron, Lincoln, Bross","Democrat, Cameron, Lincoln,Bross decended S gully",9.25 mi,3627',20276
"Group: Grays, Torreys",Kelso Ridge,8.40 mi,3638',20760
Mt. Elbert,Northeast Ridge,9.00 mi,4700',39600
Mt. Bierstadt,West Slopes,7.00 mi,2850',8429
Quandary Peak,East Ridge,6.76 mi,3361',10853
"Group: Shavano, Tabeguache",East Slopes,10.50 mi,5600',19800
Mt. Yale,Southwest Slopes,9.50 mi,4300',12060
Handies Peak,West Slopes,4.50 mi,2800',19500
"Group: Redcloud, Sunshine",Standard,11.00 mi,4800',29100
Mt. Elbert,East Ridge,8.50 mi,4100',12720
Mt. Princeton,East Slopes,13.25 mi,5400',25454
Humboldt Peak,East Ridge,9.00 mi,4300',27000
Mt. Bierstadt,West Slopes,6.82 mi,2850',12780
Huron Peak,Northwest Slopes,10.75 mi,3800',20400
Mt. Bierstadt,West Slopes,7.00 mi,2850',20400
Quandary Peak,East Ridge,6.56 mi,3427',16200
Quandary Peak,East Ridge,7.00 mi,3500',15600
Mt. Yale,East Ridge,10.50 mi,5000',30235
Quandary Peak,East Ridge,6.70 mi,3325',15480
Mt. Bierstadt,West Slopes,7.00 mi,2850',16200
Longs Peak,Keyhole Route,13.55 mi,5459',29340
"Group: Grays, Torreys",Grays then Torreys,13.29 mi,5181',45176
Mt. Evans,West Ridge from Guanella Pass,11.99 mi,4226',43559
Longs Peak,Trough,13.00 mi,5348',33504
Quandary Peak,East Ridge,6.57 mi,3263',21000
Mt. Bierstadt,West Slopes,7.00 mi,2850',21600
Quandary Peak,East Ridge,7.08 mi,3405',19572
Mt. Princeton,East Slopes,7.63 mi,3699',22410
Mt. Harvard,South Slopes,12.38 mi,4799',24077
Mt. Elbert,Northeast Ridge,9.17 mi,5101',19927
Mt. Evans,West Ridge from Summit Lake,4.26 mi,1859',10855
Missouri Mountain,Northwest Ridge,10.50 mi,4500',18000
San Luis Peak,Northeast Ridge,13.50 mi,3600',21000
Quandary Peak,East Ridge,6.75 mi,3450',14700
Pikes Peak,pike2,24.00 mi,7000',172800
Huron Peak,Northwest Slopes,6.50 mi,3500',18000
Humboldt Peak,West Ridge,11.00 mi,4200',259200
Mt. Elbert,Northeast Ridge,9.00 mi,4400',19800
Mt. Harvard,South Slopes,14.00 mi,4600',36000
Mt. Sherman,Southwest Ridge,8.50 mi,2850',13500
Quandary Peak,East Ridge (W),6.70 mi,3599',20147
La Plata Peak,Northwest Ridge,8.90 mi,4793',18900
Mt. Elbert,East Ridge,12.50 mi,4900',23640
Longs Peak,Keyhole Route,14.50 mi,5100',29400
Quandary Peak,East Ridge,7.00 mi,3500',15000
Mt. Antero,West Slopes,7.00 mi,2400',10800
Longs Peak,Keyhole Route,14.00 mi,5100',43200
"Group: Grays, Torreys",Combo- Standard ,13.25 mi,5350',33900
Mt. Evans,West Ridge via Scott Gomer Creek,13.50 mi,5200',35640
Mt. Sherman,South Slope,9.10 mi,3146',6300
Quandary Peak,East Ridge,6.75 mi,3450',16785
Culebra Peak,Northwest Ridge,17.10 mi,5200',41400
Mt. Yale,Southwest Slopes,9.50 mi,4300',30600
La Plata Peak,Northwest Ridge,9.00 mi,4950',36720
Humboldt Peak,East Ridge,14.00 mi,5600',39600
Mt. Bierstadt,West Slopes (W),11.40 mi,3783',32933
Mt. Elbert,East Ridge,9.00 mi,4339',27641
Mt. Yale,Southwest Slopes,8.93 mi,4219',21376
Quandary Peak,East Ridge,7.41 mi,3414',19691
Mt. Sherman,Southwest Ridge,4.43 mi,1772',4688
Quandary Peak,East Ridge,6.75 mi,3450',7108
Mt. Evans,West Ridge from Echo Lake,16.17 mi,5600',15552
Mt. of the Holy Cross,North Ridge,13.21 mi,5085',16648
"Group: Democrat, Cameron, Lincoln, Bross","Combo: Democrat, Cameron, Lincoln, Bross",9.84 mi,3491',10265
Longs Peak,Keyhole Route,14.50 mi,5100',17215
"Group: Grays, Torreys",Combo: grays and torreys,8.50 mi,3600',8575
Mt. Bierstadt,West Slopes,6.93 mi,-,6882
Mt. Massive,Southwest Slopes,8.00 mi,3950',23820
Mt. Elbert,Northeast Ridge,9.00 mi,4700',24240
Humboldt Peak,East Ridge,13.00 mi,5650',36000
Humboldt Peak,East Ridge,13.00 mi,5600',28800
Quandary Peak,East Ridge,6.75 mi,3450',13140
Quandary Peak,East Ridge,6.75 mi,3450',18635
"Group: Belford, Oxford",NW Ridge,13.00 mi,5800',34800
Mt. Columbia,East Ridge,9.80 mi,4800',40200
Castle Peak,Northeast Ridge,7.50 mi,3365',23700
Mt. Bierstadt,West Slopes,7.08 mi,2606',17536
"Group: Castle, Conundrum",Castle and Conundrum Combo,12.15 mi,5001',25825
Quandary Peak,East Ridge,6.98 mi,3376',21701
"Group: Democrat, Cameron, Lincoln, Bross",Decalibron,7.69 mi,3423',21463
Mt. Sherman,Southwest Ridge,5.13 mi,2236',14416
"Group: Evans, Sawtooth, Bierstadt",Bierstadt and Evans Combo (via Sawtooth),10.58 mi,4596',26065
"Group: Grays, Torreys",Kelso Ridge,10.39 mi,4358',26115
Pikes Peak,Northwest Slopes,13.13 mi,4622',28818
Mt. Evans,West Ridge from Guanella Pass,9.29 mi,3300',24240
Mt. Sherman,Southwest Ridge,9.00 mi,3100',16380
"Group: Harvard, Columbia",Columbia to Harvard Traverse,15.00 mi,6100',32760
Mt. Princeton,East Slopes,13.25 mi,5400',23520
Grays Peak,North Slopes,7.55 mi,3182',22140
Mt. Bierstadt,West Slopes,7.00 mi,2850',16452
Mt. Princeton,East Slopes,7.10 mi,3365',21720
Pikes Peak,Manitou Incline,1.00 mi,1800',1598
Pikes Peak,Northwest Slopes,13.80 mi,4430',21900
"Group: Grays, Torreys",Kelso Ridge,7.38 mi,4140',10052
"Group: Democrat, Cameron, Lincoln, Bross","Cameron, Lincoln, Bross From Kite Lake",6.00 mi,3700',31500
Mt. Sherman,Southwest Ridge,5.25 mi,2100',21600
Mt. Bierstadt,West Slopes,7.00 mi,2850',28800
Quandary Peak,East Ridge,6.75 mi,3450',28800
Mt. Democrat,East Slope,4.00 mi,2150',23400
Huron Peak,Northwest Slopes,6.50 mi,3500',25200
Humboldt Peak,East Ridge,8.50 mi,4300',36000
Mt. Bierstadt,West Slopes,7.00 mi,2850',27000
Mt. of the Holy Cross,Halo Ridge,16.00 mi,6000',36000
Mt. Massive,Southwest Slopes,10.00 mi,4600',21600
Pikes Peak,Northwest Slopes,14.00 mi,4900',24000
Mt. Bierstadt,West Slopes,7.00 mi,2850',11520
Mt. Elbert,Northeast Ridge,9.00 mi,4700',28680
Mt. Belford,Northwest Ridge,8.00 mi,4500',32400
"Group: Grays, Torreys",Combo,8.25 mi,3600',18420
Longs Peak,Keyhole Route,14.50 mi,5100',35990
Pyramid Peak,Northeast Ridge,8.25 mi,4500',40500
Mt. of the Holy Cross,Halo Ridge,13.50 mi,5400',33300
"Group: Challenger, Kit Carson",KC & Chall Standard Route,14.50 mi,6250',48600
"Group: Shavano, Tabeguache",Shavano & Tabeguache Standard Route,11.25 mi,5600',26100
Crestone Needle,South Face,12.00 mi,4400',41400
Mt. Harvard,South Slopes,14.00 mi,4600',28800
La Plata Peak,Northwest Ridge,9.25 mi,4500',24300
Culebra Peak,Northwest Ridge,5.00 mi,2700',21600
"Group: Uncompahgre, Wetterhorn",BOTH STANDARD ROUTES VIA STOCK DRIVEWAY,19.03 mi,7272',20361
Mt. Bierstadt,West Slopes,7.00 mi,2850',23520
Huron Peak,Northwest Slopes,6.50 mi,3500',17700
Longs Peak,Keyhole Route,14.00 mi,5300',16282
Longs Peak,Cables up Keyhole down,13.95 mi,5450',40020
"Group: Challenger, Kit Carson",North Ridge (KC to Challenger down Standard),15.25 mi,6300',38700
Snowmass Mountain,West Slope,9.00 mi,4500',28800
Grays Peak,North Slopes,8.00 mi,3000',12480
Huron Peak,Northwest Slopes,6.50 mi,3500',15600
"Group: Grays, Torreys",Combo: Standard,8.50 mi,3600',20460
Mt. Bierstadt,West Slopes,7.00 mi,-,18780
Mt. Massive,Southwest Slopes,8.00 mi,3950',22440
San Luis Peak,Northeast Ridge,13.50 mi,3600',18540
Mt. Bierstadt,West Slopes,7.00 mi,2850',10545
Missouri Mountain,West Ridge,5.75 mi,3150',24060
"Group: Blanca, Ellingwood, Little Bear",NW Face LB -> Ridge,15.30 mi,6696',20923
Mt. Columbia,Frenchman Creek,9.20 mi,3655',21240
Maroon Peak,South Ridge,12.75 mi,5300',39720
Quandary Peak,East Ridge,6.75 mi,3450',27840
Mt. Evans,West Ridge from Guanella Pass,10.25 mi,3100',21120
Mt. Democrat,East Slope,-,-,19020
Huron Peak,Northwest Slopes,6.50 mi,3500',22080
"Ridge Traverse: El Diente, Mt. Wilson",Traverse,-,-,43200
Quandary Peak,East Ridge,6.60 mi,3500',18600
Huron Peak,Northwest Slopes,6.25 mi,3500',12600
Torreys Peak,Kelso Ridge,8.50 mi,3800',14400
"Group: Democrat, Cameron, Lincoln, Bross",Kite Lake,7.29 mi,3754',20040
San Luis Peak,Northeast Ridge,13.50 mi,3600',34620
Mt. Yale,Southwest Slopes,9.50 mi,4300',32520
Handies Peak,Southwest Slopes,5.50 mi,2500',11160
Mt. Sherman,West Slopes from Iowa Gulch,4.50 mi,2150',13380
Wetterhorn Peak,Southeast Ridge,7.00 mi,3300',16500
Uncompahgre Peak,South Ridge from Matterhorn Creek,13.50 mi,4250',25740
Mt. Sneffels,Southwest Ridge,6.50 mi,2950',18780
Mt. Sherman,Southwest Ridge,5.50 mi,2200',18000
"Group: Redcloud, Sunshine",Standard - via Redcloud NE Ridge,12.25 mi,4800',17280
Humboldt Peak,West Ridge,11.00 mi,4200',15000
La Plata Peak,Northwest Ridge,9.47 mi,4426',22500
Mt. Belford,Northwest Ridge,8.00 mi,4500',16740
Mt. Belford,Northwest Ridge,8.00 mi,4500',16740
Pikes Peak,Barr Trail,26.00 mi,7400',31352
La Plata Peak,Ellingwood Ridge,9.50 mi,5900',21048
"Group: Grays, Torreys",east/south slopes,8.50 mi,3600',26100
Longs Peak,Keyhole Route,14.50 mi,5100',33000
"Group: Belford, Oxford",standard,11.00 mi,5800',33420
Pikes Peak,Northwest Slopes,14.00 mi,4300',32400
Mt. Elbert,Northeast Ridge,9.00 mi,4700',19800
Huron Peak,Northwest Slopes,6.75 mi,3500',13200
Mt. Harvard,South Slopes,13.50 mi,4600',29160
Missouri Mountain,Northwest Ridge,10.50 mi,4500',26700
La Plata Peak,Northwest Ridge,9.25 mi,4500',21000
Mt. Princeton,East Slopes,6.50 mi,3200',23100
Capitol Peak,Northeast Ridge,4.00 mi,2630',21600
Mt. Evans,West Ridge from Summit Lake,6.30 mi,3002',18000
Crestone Needle,South Face,12.00 mi,4400',21300
Mt. Bross,West Slopes,3.25 mi,2200',12600
Missouri Mountain,Northwest Ridge,10.50 mi,4500',26160
Mt. Harvard,Frenchman Creek,10.29 mi,4118',26220
Torreys Peak,West Ridge,10.00 mi,5500',20580
Castle Peak,Northeast Ridge,6.99 mi,3786',23332
"Group: Belford, Oxford",Belford NW Ridge + Traverse,11.50 mi,5800',23940
Mt. Elbert,Northeast Ridge,9.00 mi,4700',32400
Mt. Antero,West Slopes,10.00 mi,3400',19980
Mt. Shavano,East Slopes,10.00 mi,4600',23400
Humboldt Peak,West Ridge,11.00 mi,4200',18900
Quandary Peak,East Ridge,6.75 mi,3450',27600
"Group: Harvard, Columbia",Harvard Columbia Combo,16.00 mi,6100',37800
Maroon Peak,South Ridge,11.50 mi,4800',36900
Mt. Sherman,Southwest Ridge,5.25 mi,2500',13980
Humboldt Peak,West Ridge,-,2400',18000
"Group: Challenger, Kit Carson",Willow Lake Trailhead,12.50 mi,6300',50220
San Luis Peak,South Ridge,11.20 mi,3600',24600
Mt. Sherman,Southwest Ridge,5.62 mi,2100',21360
Longs Peak,Keyhole Route,14.50 mi,5100',37800
La Plata Peak,Northwest Ridge,9.41 mi,4406',439200
Missouri Mountain,Northwest Ridge,10.50 mi,4500',12600
Longs Peak,Keyhole Route,16.00 mi,5100',43200
Capitol Peak,NE Ridge from TH,17.00 mi,5300',22680
Mt. Oxford,From Pine Creek,8.00 mi,3850',22500
Mt. Sherman,Southwest Ridge,5.25 mi,2100',14400
Quandary Peak,East Ridge,7.00 mi,3615',30600
Mt. Sherman,Southwest Ridge,6.00 mi,2100',518400
Mt. Bierstadt,West Slopes,7.00 mi,2850',21600
"Group: Evans, Sawtooth, Bierstadt",Sawtooth,10.25 mi,3900',32400
Wilson Peak,Rock of Ages Approach,8.60 mi,5000',24300
Mt. Bierstadt,West Slopes,7.30 mi,2798',7196
Mt. Yale,Southwest Slopes,9.47 mi,4300',16200
Pikes Peak,Northwest Slopes,14.00 mi,4300',25185
Mt. Sherman,Southwest Ridge,4.96 mi,2187',10827
Mt. Massive,East Slopes,14.50 mi,4500',11400
Quandary Peak,East Ridge,6.75 mi,3450',14520
"Group: Blanca, Ellingwood, Little Bear",NW Face -> Traverse -> Traverse,18.20 mi,7800',39000
Mt. of the Holy Cross,North Ridge,12.00 mi,5600',30600
North Maroon Peak,Northeast Ridge,9.39 mi,4500',29040
Pyramid Peak,Northeast Ridge,8.84 mi,4500',30000
Maroon Peak,South Ridge,12.11 mi,4800',36060
Mt. Bierstadt,West Slopes,7.30 mi,2701',23400
Missouri Mountain,Northwest Ridge,10.50 mi,4500',25200
Wetterhorn Peak,Southeast Ridge,7.00 mi,3300',21600
Grays Peak,South Ridge,7.00 mi,3250',20107
San Luis Peak,Northeast Ridge,13.15 mi,3688',20520
Longs Peak,Keyhole Route,14.50 mi,5100',43200
Pikes Peak,Northwest Slopes,18.00 mi,4600',28800
Mt. Sherman,Southwest Ridge,5.25 mi,2100',10500
Pyramid Peak,Northeast Ridge,8.25 mi,4500',14730
Capitol Peak,Northeast Ridge from TH,17.00 mi,5300',26400
"Group: Evans, Sawtooth, Bierstadt",West Slopes,7.00 mi,2850',10620
Quandary Peak,East Ridge,6.75 mi,3450',16020
Quandary Peak,East Ridge,6.75 mi,3450',19440
Mt. Harvard,South Slopes,13.50 mi,4600',30600
Mt. of the Holy Cross,North Ridge,11.98 mi,5600',30600
"Group: Redcloud, Sunshine",Silver Creek/Grizzly Gulch,10.60 mi,4275',27000
"Group: Grays, Torreys",Grays Peak TH,8.25 mi,3600',24300
Handies Peak,East Slopes,8.00 mi,3650',17100
"Group: Democrat, Cameron, Lincoln, Bross",Kite Lake,7.25 mi,3700',23220
Quandary Peak,East Ridge,8.11 mi,3400',25980
Mt. Sneffels,South Slopes,6.38 mi,3005',28800
"Group: Evans, Sawtooth, Bierstadt",Tour de Abyss,5.00 mi,3000',29940
Missouri Mountain,Northwest Ridge,10.50 mi,4500',23700
Snowmass Mountain,S-ridge,9.40 mi,3336',36000
Mt. Belford,"NW Ridge up, Elkhead pass down",9.80 mi,4525',13920
"Group: Grays, Torreys",Combo) Grays and Torreys,8.50 mi,3600',14400
Quandary Peak,East Ridge,6.66 mi,3375',11700
"Group: Evans, Sawtooth, Bierstadt",Tour d‘Abyss,7.00 mi,-,25200
Uncompahgre Peak,South Ridge,7.00 mi,-,14400
Wetterhorn Peak,Matterhorn Creek,8.00 mi,-,18000
"Group: Redcloud, Sunshine",Silver Creek/Grizzley Gulch,13.00 mi,-,26100
Mt. Massive,Southwest Slopes,8.00 mi,-,17100
Humboldt Peak,West Ridge,12.00 mi,-,27000
La Plata Peak,Southwest Ridge,8.00 mi,-,22500
Huron Peak,Clear Creek,4.60 mi,-,13800
Mt. Yale,Denny Creek,8.50 mi,-,22500
Quandary Peak,East Ridge,7.00 mi,-,16200
Mt. Bierstadt,West Slopes,6.00 mi,-,15300
Mt. Princeton,East Slopes,6.50 mi,-,23400
Pikes Peak,pike2,24.63 mi,7800',33780
Quandary Peak,East Ridge,7.00 mi,3599',26040
Mt. Bierstadt,West Slopes,7.80 mi,2753',21600
"Group: Redcloud, Sunshine",Combo,12.25 mi,4800',20940
Longs Peak,Keyhole Route,14.50 mi,5100',24099
Mt. Bierstadt,West Slopes,6.30 mi,3168',20160
Pikes Peak,Northwest Slopes,8.00 mi,4300',25200
Mt. Sherman,Southwest Ridge,6.50 mi,2100',16920
Quandary Peak,East Ridge,6.75 mi,3450',8040
Uncompahgre Peak,South Ridge,7.25 mi,3000',8280
"Group: Democrat, Cameron, Lincoln, Bross",DeCaLiBron,7.25 mi,-,18000
Pyramid Peak,Northeast Ridge,8.25 mi,4500',27900
Mt. Shavano,East Slopes,9.25 mi,4500',17085
La Plata Peak,Northwest Ridge,9.50 mi,4500',21510
"Group: Democrat, Cameron, Lincoln, Bross",Combo,7.25 mi,3700',13501
"Group: Shavano, Tabeguache",Standard,11.25 mi,5600',18600
Grays Peak,from Guanella pass,20.00 mi,7200',37800
Mt. of the Holy Cross,North Ridge,11.22 mi,5570',24600
La Plata Peak,Northwest Ridge,9.25 mi,4500',21600
Mt. Columbia,West Slopes,11.50 mi,4250',25200
Missouri Mountain,Northwest Ridge,6.50 mi,2500',19200
"Group: Belford, Oxford",Northwest Ridge for Belford; Oxford from Belford; from a camp near treeline,6.50 mi,3800',23400
Missouri Mountain,Northwest Ridge,10.50 mi,4500',19200
"Group: Belford, Oxford",Northwest Ridge,11.00 mi,5800',22800
Humboldt Peak,West Ridge,11.50 mi,4200',21600
Humboldt Peak,Southwest Slopes,9.50 mi,4300',18000
"Group: Grays, Torreys",Grays North Slope/Torreys South Slope,8.80 mi,3650',18900
Mt. Bierstadt,West Slopes,7.00 mi,2850',13800
San Luis Peak,South Ridge,11.50 mi,3700',33720
Mt. Harvard,South Slopes,14.00 mi,4600',43440
Mt. Bierstadt,West Slopes,7.00 mi,2850',6420
Wilson Peak,Southwest Ridge,-,-,32400
"Group: Evans, Sawtooth, Bierstadt",Combo,13.35 mi,5020',43200
Longs Peak,Keyhole Route,15.00 mi,5100',35160
Mt. Democrat,East Slope,5.00 mi,2200',13200
Mt. Democrat,East Slope,5.00 mi,2200',13200
"Group: Shavano, Tabeguache",Standard,11.25 mi,5600',17700
Mt. Antero,West Slopes,8.30 mi,2776',18931
"Group: Belford, Oxford",Standard,11.00 mi,5387',34080
Wetterhorn Peak,Southeast Ridge,8.50 mi,3800',22800
"Group: Belford, Oxford",Northwest Ridge - Descent Elkhead Pass,11.00 mi,5800',18900
Mt. Sherman,Southwest Ridge,5.25 mi,2100',25200
"Group: Belford, Oxford","Missouri Gulch up, Elkhead Pass down",13.00 mi,5000',36000
Capitol Peak,Northeast Ridge,17.00 mi,5203',29880
"Group: Challenger, Kit Carson",Willow Lake to Willow Lake Trailhead Hike Out,4.61 mi,112',7983
"Group: Challenger, Kit Carson","Standard Route from Willow Lake ""Challenger North Slope on to Kit Carson and back""",5.32 mi,4887',21250
Huron Peak,Northwest Slopes,6.50 mi,3500',12000
Crestone Peak,South Face,14.00 mi,5600',36000
Humboldt Peak,West Ridge,11.00 mi,4300',15180
"Group: Castle, Conundrum",Standard from Lowest Trailhead,14.00 mi,4850',14700
La Plata Peak,Northwest Ridge,19.00 mi,5000',30960
"Group: Grays, Torreys",Grays and Torreys,8.50 mi,3600',21720
Longs Peak,Keyhole Route,14.50 mi,5100',18900
"Ridge Traverse: El Diente, Mt. Wilson",El Diente to Mt. Wilson Traverse,1.00 mi,500',5100
Pikes Peak,pike2,12.60 mi,7410',20940
Mt. Bierstadt,West Slopes,7.00 mi,2850',17460
Snowmass Mountain,West Slope,9.00 mi,4500',32400
Capitol Peak,Northeast Ridge,17.10 mi,5268',17952
Mt. Elbert,Northeast Ridge,9.50 mi,4700',25200
